"station","lat","lon","year","species","biomindex","abunindex"
"1",44.55919167,12.33923333,"2005","MELIKER",0,0
"2",44.58756666,12.52665,"2005","MELIKER",4.327187538,134.292038
"7",44.28683333,12.38481666,"2005","MELIKER",0,0
"8",44.33745834,12.50063334,"2005","MELIKER",14.54986191,984.9138184
"13",44.11445833,12.54723333,"2005","MELIKER",2.381687164,251.4002991
"14",44.12538334,12.7034083,"2005","MELIKER",6.748479843,465.9664612
"20",43.91809168,12.939125,"2005","MELIKER",2.953539133,180.4940491
"21",43.96149168,13.085875,"2005","MELIKER",44.45815659,2117.055176
"27",43.70814168,13.26906667,"2005","MELIKER",0,0
"28",43.78078334,13.37115833,"2005","MELIKER",23.79146194,1189.57312
"34",43.57639167,13.61097501,"2005","MELIKER",0.965182006,48.25910187
"35",43.59596666,13.74535834,"2005","MELIKER",23.84069061,1038.223633
"40",43.34727499,13.73523334,"2005","MELIKER",0,0
"41",43.373675,13.88284168,"2005","MELIKER",25.35902977,994.4718018
"47",43.11429167,13.87239167,"2005","MELIKER",0.844534278,48.25910187
"48",43.13949167,13.98194167,"2005","MELIKER",23.07163429,922.8654175
"101",45.3618,12.35491667,"2005","MELIKER",3.928228617,377.0126343
"102",45.39698334,12.48796666,"2005","MELIKER",0,0
"103",45.47975,12.79893335,"2005","MELIKER",0.612171352,27.20761299
"104",45.56870003,13.13261666,"2005","MELIKER",4.675047874,162.6103668
"105",45.65718333,13.46719999,"2005","MELIKER",0.905564189,30.18547249
"106",45.71051668,13.66778336,"2005","MELIKER",0,0
"107",45.1102,12.35911668,"2005","MELIKER",1.085829854,84.45342255
"108",45.14471666,12.49168332,"2005","MELIKER",0,0
"109",45.23311667,12.82371667,"2005","MELIKER",0,0
"110",45.32141666,13.15628333,"2005","MELIKER",0,0
"112",44.87951667,12.50316668,"2005","MELIKER",3.165358067,280.0124512
"113",44.91511669,12.63518333,"2005","MELIKER",5.189480305,457.1684875
"3",44.68776668,12.77601668,"2005","MELIKER",0.983065248,49.15326309
"4",44.75881669,13.05885,"2005","MELIKER",0,0
"5",44.86115001,13.42234166,"2005","MELIKER",0,0
"9",44.42903333,12.84175002,"2005","MELIKER",0.264631897,13.23159504
"10",44.51235833,13.15390833,"2005","MELIKER",0,0
"11",44.60295,13.47998333,"2005","MELIKER",0,0
"15",44.224625,13.01190833,"2005","MELIKER",0,0
"114",45.00286667,12.96538334,"2005","MELIKER",0,0
"115",45.0911,13.29611667,"2005","MELIKER",0,0
"16",44.29641668,13.35648333,"2005","MELIKER",0,0
"17",44.39732501,13.66475,"2005","MELIKER",0,0
"18",44.4412,13.88720001,"2005","MELIKER",0,0
"22",44.03598333,13.3917,"2005","MELIKER",0.28290832,14.14541721
"23",44.128175,13.70083332,"2005","MELIKER",0,0
"24",44.224425,14.0396,"2005","MELIKER",0,0
"29",43.87463334,13.681775,"2005","MELIKER",0,0
"30",43.94793332,14.00480832,"2005","MELIKER",0,0
"31",44.02759167,14.309425,"2005","MELIKER",0,0
"36",43.69045,14.07151667,"2005","MELIKER",0,0
"37",43.77285833,14.3706,"2005","MELIKER",0,0
"38",43.87123334,14.72010002,"2005","MELIKER",0,0
"1",45.38526667,12.45704166,"2006","MELIKER",12.08236217,733.0303345
"2",45.59166667,13.1,"2006","MELIKER",4.081141949,217.6609039
"3",45.66940832,13.51147501,"2006","MELIKER",9.977965355,291.0239868
"4",45.09904167,12.37793334,"2006","MELIKER",3.089466333,157.7599945
"5",45.15145001,12.50060833,"2006","MELIKER",0.973502576,32.4500885
"6",45.238775,12.84990832,"2006","MELIKER",1.081669569,43.26678467
"8",44.904625,12.53149168,"2006","MELIKER",3.504131794,539.097229
"12",44.59268332,12.35505834,"2006","MELIKER",2.766335487,147.5378876
"16",44.28812501,12.45860833,"2006","MELIKER",19.28118134,1456.344482
"17",44.31325833,12.56945,"2006","MELIKER",14.90084839,905.367981
"21",44.145425,12.75641667,"2006","MELIKER",20.08932686,1042.80481
"24",43.93093335,12.99422502,"2006","MELIKER",6.051959515,363.1175842
"25",43.97676668,13.0653,"2006","MELIKER",62.45001221,2987.804443
"27",43.74651667,13.19993333,"2006","MELIKER",0,0
"31",43.58388335,13.59571667,"2006","MELIKER",0.256351501,25.63515091
"33",43.399075,13.70545832,"2006","MELIKER",0.525073588,26.25368118
"34",43.37753334,13.86211665,"2006","MELIKER",37.44915009,1590.649536
"37",43.15116667,13.87613331,"2006","MELIKER",15.38392162,676.8925171
"43",45.37564999,12.40067499,"2006","MELIKER",8.73916626,400.6494446
