"station","lat","lon","year","species","biomindex","abunindex"
"1",44.55919167,12.33923333,"2005","PECTJAC",0,0
"2",44.58756666,12.52665,"2005","PECTJAC",0,0
"7",44.28683333,12.38481666,"2005","PECTJAC",0,0
"8",44.33745834,12.50063334,"2005","PECTJAC",0,0
"13",44.11445833,12.54723333,"2005","PECTJAC",0,0
"14",44.12538334,12.7034083,"2005","PECTJAC",0,0
"20",43.91809168,12.939125,"2005","PECTJAC",0,0
"21",43.96149168,13.085875,"2005","PECTJAC",0,0
"27",43.70814168,13.26906667,"2005","PECTJAC",0,0
"28",43.78078334,13.37115833,"2005","PECTJAC",0,0
"34",43.57639167,13.61097501,"2005","PECTJAC",0,0
"35",43.59596666,13.74535834,"2005","PECTJAC",0,0
"40",43.34727499,13.73523334,"2005","PECTJAC",0,0
"41",43.373675,13.88284168,"2005","PECTJAC",0,0
"47",43.11429167,13.87239167,"2005","PECTJAC",0,0
"48",43.13949167,13.98194167,"2005","PECTJAC",0,0
"101",45.3618,12.35491667,"2005","PECTJAC",1.216169834,12.16169834
"102",45.39698334,12.48796666,"2005","PECTJAC",0,0
"103",45.47975,12.79893335,"2005","PECTJAC",0,0
"104",45.56870003,13.13261666,"2005","PECTJAC",13.21209145,162.6103668
"105",45.65718333,13.46719999,"2005","PECTJAC",10.56491566,120.74189
"106",45.71051668,13.66778336,"2005","PECTJAC",2.638798237,26.38798141
"107",45.1102,12.35911668,"2005","PECTJAC",0,0
"108",45.14471666,12.49168332,"2005","PECTJAC",37.36095047,571.402832
"109",45.23311667,12.82371667,"2005","PECTJAC",84.82967377,1168.599121
"110",45.32141666,13.15628333,"2005","PECTJAC",35.40242767,275.3522034
"112",44.87951667,12.50316668,"2005","PECTJAC",0,0
"113",44.91511669,12.63518333,"2005","PECTJAC",0,0
"3",44.68776668,12.77601668,"2005","PECTJAC",0,0
"4",44.75881669,13.05885,"2005","PECTJAC",2.734797478,12.43089771
"5",44.86115001,13.42234166,"2005","PECTJAC",13.7693758,87.88963318
"9",44.42903333,12.84175002,"2005","PECTJAC",0,0
"10",44.51235833,13.15390833,"2005","PECTJAC",0,0
"11",44.60295,13.47998333,"2005","PECTJAC",3.860728025,72.38864899
"15",44.224625,13.01190833,"2005","PECTJAC",0,0
"114",45.00286667,12.96538334,"2005","PECTJAC",0,0
"115",45.0911,13.29611667,"2005","PECTJAC",0.130554706,13.05547142
"16",44.29641668,13.35648333,"2005","PECTJAC",0,0
"17",44.39732501,13.66475,"2005","PECTJAC",0.431728959,21.58644867
"18",44.4412,13.88720001,"2005","PECTJAC",2.506462574,20.88718796
"22",44.03598333,13.3917,"2005","PECTJAC",0,0
"23",44.128175,13.70083332,"2005","PECTJAC",0,0
"24",44.224425,14.0396,"2005","PECTJAC",0,0
"29",43.87463334,13.681775,"2005","PECTJAC",0,0
"30",43.94793332,14.00480832,"2005","PECTJAC",0,0
"31",44.02759167,14.309425,"2005","PECTJAC",0,0
"36",43.69045,14.07151667,"2005","PECTJAC",0,0
"37",43.77285833,14.3706,"2005","PECTJAC",0,0
"38",43.87123334,14.72010002,"2005","PECTJAC",0,0
"1",45.38526667,12.45704166,"2006","PECTJAC",0,0
"2",45.59166667,13.1,"2006","PECTJAC",0,0
"3",45.66940832,13.51147501,"2006","PECTJAC",4.157485485,41.5748558
"4",45.09904167,12.37793334,"2006","PECTJAC",0,0
"5",45.15145001,12.50060833,"2006","PECTJAC",21.90380859,210.9255676
"6",45.238775,12.84990832,"2006","PECTJAC",50.83847046,411.0344543
"8",44.904625,12.53149168,"2006","PECTJAC",0,0
"12",44.59268332,12.35505834,"2006","PECTJAC",0,0
"16",44.28812501,12.45860833,"2006","PECTJAC",0,0
"17",44.31325833,12.56945,"2006","PECTJAC",0,0
"21",44.145425,12.75641667,"2006","PECTJAC",0,0
"24",43.93093335,12.99422502,"2006","PECTJAC",0,0
"25",43.97676668,13.0653,"2006","PECTJAC",0,0
"27",43.74651667,13.19993333,"2006","PECTJAC",0,0
"31",43.58388335,13.59571667,"2006","PECTJAC",0,0
"33",43.399075,13.70545832,"2006","PECTJAC",0,0
"34",43.37753334,13.86211665,"2006","PECTJAC",0,0
"37",43.15116667,13.87613331,"2006","PECTJAC",0,0
"43",45.37564999,12.40067499,"2006","PECTJAC",0,0
"44",45.47210833,12.72950834,"2006","PECTJAC",1.068270564,13.35338211
"45",45.68305,13.61899166,"2006","PECTJAC",153.2323456,2940.404297
"46",44.91422501,12.64197502,"2006","PECTJAC",5.080768108,200.7216949
"47",44.59001668,12.401825,"2006","PECTJAC",0,0
"48",44.06129167,12.60989167,"2006","PECTJAC",0,0
"49",43.58243335,13.76397502,"2006","PECTJAC",0,0
"50",43.06099167,14.01376667,"2006","PECTJAC",0,0
"51",45.32220834,13.149,"2006","PECTJAC",9.052924156,55.71030426
"55",45.31546667,12.49995,"2006","PECTJAC",3.369575024,28.07979202
"56",45.31058334,12.90660833,"2006","PECTJAC",42.25252151,429.686676
"57",45.06403333,12.75746667,"2006","PECTJAC",16.4287262,169.2656708
"63",44.22986666,12.58211667,"2006","PECTJAC",0,0
"64",44.18273333,12.51018333,"2006","PECTJAC",0,0
"65",44.07574167,12.75051664,"2006","PECTJAC",0,0
"66",43.596825,13.67810001,"2006","PECTJAC",0,0
"9",44.99451668,12.98117501,"2006","PECTJAC",0.750947714,12.51579571
"10",45.08854167,13.27226666,"2006","PECTJAC",2.169404507,14.46269608
"13",44.61051664,12.74791667,"2006","PECTJAC",0,0
"14",44.75622498,13.11739167,"2006","PECTJAC",5.987018108,44.34827805
"15",44.92620834,13.50746667,"2006","PECTJAC",47.4803772,237.401886
"18",44.37486666,12.91179167,"2006","PECTJAC",3.339598417,14.51999283
