"station","lat","lon","year","species","biomindex","abunindex"
"1",44.55919167,12.33923333,"2005","SEPIOFF",0,0
"2",44.58756666,12.52665,"2005","SEPIOFF",5.968534946,74.60668945
"7",44.28683333,12.38481666,"2005","SEPIOFF",0,0
"8",44.33745834,12.50063334,"2005","SEPIOFF",26.4135952,940.1449585
"13",44.11445833,12.54723333,"2005","SEPIOFF",0,0
"14",44.12538334,12.7034083,"2005","SEPIOFF",16.38916588,433.8308411
"20",43.91809168,12.939125,"2005","SEPIOFF",0,0
"21",43.96149168,13.085875,"2005","SEPIOFF",16.1425457,145.5475464
"27",43.70814168,13.26906667,"2005","SEPIOFF",0,0
"28",43.78078334,13.37115833,"2005","SEPIOFF",1.640790462,41.01976395
"34",43.57639167,13.61097501,"2005","SEPIOFF",0,0
"35",43.59596666,13.74535834,"2005","SEPIOFF",21.02082253,371.7096863
"40",43.34727499,13.73523334,"2005","SEPIOFF",0,0
"41",43.373675,13.88284168,"2005","SEPIOFF",9.447482109,111.8780746
"47",43.11429167,13.87239167,"2005","SEPIOFF",4.343319416,24.12955093
"48",43.13949167,13.98194167,"2005","SEPIOFF",9.997708321,89.72303009
"101",45.3618,12.35491667,"2005","SEPIOFF",63.24082565,413.4977417
"102",45.39698334,12.48796666,"2005","SEPIOFF",88.8019104,673.1757813
"103",45.47975,12.79893335,"2005","SEPIOFF",27.88780403,258.4723206
"104",45.56870003,13.13261666,"2005","SEPIOFF",189.928894,2439.155518
"105",45.65718333,13.46719999,"2005","SEPIOFF",561.4498291,17024.60742
"106",45.71051668,13.66778336,"2005","SEPIOFF",366.0276794,6649.770996
"107",45.1102,12.35911668,"2005","SEPIOFF",33.1781311,229.2307281
"108",45.14471666,12.49168332,"2005","SEPIOFF",97.4315033,688.6136475
"109",45.23311667,12.82371667,"2005","SEPIOFF",134.1100311,1713.060059
"110",45.32141666,13.15628333,"2005","SEPIOFF",146.8545074,1271.864868
"112",44.87951667,12.50316668,"2005","SEPIOFF",1.217445493,36.52336502
"113",44.91511669,12.63518333,"2005","SEPIOFF",51.89480209,407.744873
"3",44.68776668,12.77601668,"2005","SEPIOFF",47.92443085,430.0910645
"4",44.75881669,13.05885,"2005","SEPIOFF",115.1101151,1019.333557
"5",44.86115001,13.42234166,"2005","SEPIOFF",104.2957001,1113.268677
"9",44.42903333,12.84175002,"2005","SEPIOFF",44.72279358,396.9478455
"10",44.51235833,13.15390833,"2005","SEPIOFF",48.50577164,267.4950562
"11",44.60295,13.47998333,"2005","SEPIOFF",80.11010742,458.4614563
"15",44.224625,13.01190833,"2005","SEPIOFF",8.972302437,76.90544891
"114",45.00286667,12.96538334,"2005","SEPIOFF",22.56087112,115.6967697
"115",45.0911,13.29611667,"2005","SEPIOFF",174.9433136,1292.491699
"16",44.29641668,13.35648333,"2005","SEPIOFF",6.475934982,21.58644867
"17",44.39732501,13.66475,"2005","SEPIOFF",0,0
"18",44.4412,13.88720001,"2005","SEPIOFF",0,0
"22",44.03598333,13.3917,"2005","SEPIOFF",4.809442043,42.43625259
"23",44.128175,13.70083332,"2005","SEPIOFF",0,0
"24",44.224425,14.0396,"2005","SEPIOFF",0,0
