station,year,lat,lon
4,2022,45.098875,12.38338334
5,2022,45.15225,12.50874166
6,2022,45.25585,12.87547916
10,2020,45.09945834,13.25025
10,2022,45.09945834,13.25025
14,2022,44.73999166,13.08565833
22,2020,44.40116666,13.65633332
22,2022,44.40116666,13.65633332
23,2020,44.331975,14.038775
23,2022,44.331975,14.038775
30,2021,43.96748333,13.99643335
30,2022,43.96748333,13.99643335
33,2022,43.33374166,13.742125
34,2022,43.33639166,13.90425002
35,2022,43.44784168,14.20715
37,2022,43.12926667,13.905675
38,2022,43.37058333,14.1268
48,2020,44.066675,12.60445833
50,2022,43.0569,14.01305833
51,2022,45.332875,13.06869166
53,2020,44.55649999,13.55434167
53,2022,44.55649999,13.55434167
54,2022,44.23999166,12.96583331
56,2022,45.33060832,12.88990002
58,2020,45.00173334,13.24308333
58,2022,45.00173334,13.24308333
60,2020,44.67460833,13.48136667
60,2022,44.67460833,13.48136667
62,2020,44.45574166,12.73584998
67,2022,43.34198333,13.98144999
68,2020,42.86325833,13.96815834
68,2022,42.86325833,13.96815834
69,2021,42.64914166,14.25374167
69,2022,42.64914166,14.25374167
70,2021,42.58307501,14.23095
70,2022,42.58307501,14.23095
71,2021,42.25754166,14.58665835
71,2022,42.25754166,14.58665835
72,2021,42.26279999,14.994775
72,2022,42.26279999,14.994775
73,2021,42.09605833,14.87953332
73,2022,42.09605833,14.87953332
74,2021,41.99645833,15.05529167
74,2022,41.99645833,15.05529167
75,2021,42.039225,15.45325832
75,2022,42.039225,15.45325832
76,2021,41.99574169,15.66085831
76,2022,41.99574169,15.66085831
10,2019,45.09945834,13.25025
22,2019,44.40116666,13.65633332
23,2019,44.331975,14.038775
48,2019,44.066675,12.60445833
53,2019,44.55649999,13.55434167
58,2019,45.00173334,13.24308333
60,2019,44.67460833,13.48136667
62,2019,44.45574166,12.73584998
68,2019,42.86325833,13.96815834
